Instrument,BID,ASK,RT_YIELD_1
US2YT=RR,100.54296875,100.55078125,4.0811
2024-08-19 05:38:07,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:38:22,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:38:36,US2YT=RR,100.53515625,100.5390625,4.0853
2024-08-19 05:38:50,US2YT=RR,100.53515625,100.5390625,4.0853
2024-08-19 05:39:05,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:39:19,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:39:33,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:39:48,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:40:02,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:40:16,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:40:30,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:40:45,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:40:59,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:41:13,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:41:28,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:41:42,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:41:56,US2YT=RR,100.5390625,100.54296875,4.0832
2024-08-19 05:42:11,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:42:25,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:42:40,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:42:54,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:43:08,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:43:22,US2YT=RR,100.54296875,100.546875,4.0811
2024-08-19 05:43:37,US2YT=RR,100.54296875,100.546875,4.0811
2024-08-19 05:43:51,US2YT=RR,100.54296875,100.546875,4.0811
2024-08-19 05:44:05,US2YT=RR,100.54296875,100.546875,4.0811
2024-08-19 05:44:20,US2YT=RR,100.54296875,100.55078125,4.0811
2024-08-19 05:44:34,US2YT=RR,100.54296875,100.546875,4.0811
2024-08-19 05:44:48,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:45:03,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:45:17,US2YT=RR,100.54296875,100.55078125,4.0811
2024-08-19 05:45:31,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:45:46,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:46:00,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:46:14,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:46:29,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:46:43,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:46:57,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:47:12,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:47:26,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:47:40,US2YT=RR,100.5390625,100.546875,4.0832
2024-08-19 05:47:55,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:48:09,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:48:24,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:48:38,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:48:52,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:53:02,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:53:16,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:53:30,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:53:45,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:53:59,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:54:13,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:54:27,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:54:41,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:54:55,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:55:10,US2YT=RR,100.53515625,100.5390625,4.0853
2024-08-19 05:55:24,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:55:38,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:55:52,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:56:06,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:56:20,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:56:34,US2YT=RR,100.53125,100.5390625,4.0874
2024-08-19 05:56:49,US2YT=RR,100.53125,100.5390625,4.0874
2024-08-19 05:57:03,US2YT=RR,100.53125,100.5390625,4.0874
2024-08-19 05:57:17,US2YT=RR,100.53125,100.5390625,4.0874
2024-08-19 05:57:31,US2YT=RR,100.53125,100.5390625,4.0874
2024-08-19 05:57:45,US2YT=RR,100.53125,100.5390625,4.0874
2024-08-19 05:57:59,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:58:13,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:58:28,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:58:42,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:58:56,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:59:10,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:59:24,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:59:38,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 05:59:53,US2YT=RR,100.53515625,100.54296875,4.0853
2024-08-19 06:07:55,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:08:09,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:08:23,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:08:38,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:08:52,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:09:06,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:09:21,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:09:35,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:09:49,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:10:03,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:10:18,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:10:32,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:10:46,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:11:01,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:11:15,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:11:29,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:11:43,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:11:58,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:12:12,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:12:26,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:12:40,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:12:54,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:13:08,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:13:23,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:13:37,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:13:51,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:14:06,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:14:20,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:14:34,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:14:48,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:15:02,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:15:16,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:15:31,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:15:45,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:16:00,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:16:14,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:17:02,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:17:16,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:17:30,US2YT=RR,100.546875,100.5546875,4.0791
2024-08-19 06:17:45,US2YT=RR,100.55078125,100.5546875,4.077
2024-08-19 06:17:59,US2YT=RR,100.55078125,100.5546875,4.077
2024-08-19 06:18:13,US2YT=RR,100.55078125,100.5546875,4.077
2024-08-19 06:18:28,US2YT=RR,100.55078125,100.5546875,4.077
2024-08-19 06:18:42,US2YT=RR,100.55078125,100.5546875,4.077
2024-08-19 06:18:56,US2YT=RR,100.55078125,100.5546875,4.077
2024-08-19 06:19:11,US2YT=RR,100.5546875,100.55859375,4.0749
2024-08-19 06:19:25,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:19:40,US2YT=RR,100.5546875,100.5625,4.0749
2024-08-19 06:19:54,US2YT=RR,100.5546875,100.5625,4.0749
